"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",2.12530885833152e-93,5.3686703597232,0.467,0.021,5.5094381534528e-89
"C7",1.23020384857153e-39,-6.48478871679987,0.024,0.313,3.18905743665198e-35
"Gm48099",1.7152149561227e-27,0.803089582576574,0.886,0.786,4.44635173075689e-23
"Thsd7a",1.31174232828401e-26,-2.33777448687337,0.065,0.306,3.40042963761063e-22
"Hexb",1.73699629876786e-26,1.70869134521769,0.667,0.508,4.50281550529593e-22
"Cdk8",6.86416507148853e-26,0.924264887556987,0.985,0.946,1.77939751148197e-21
"Slit3",6.6616126052957e-24,-1.20724809355444,0.372,0.627,1.7268898356708e-19
"Arhgap24",5.42392823564913e-23,-2.05797072666577,0.218,0.463,1.40604491652733e-18
"Egfr",1.28445318708705e-19,-1.62028751170446,0.184,0.415,3.32968799688576e-15
"Camk1d",2.1201384296572e-16,1.12549894911298,0.754,0.653,5.49603485120035e-12
"Gria3",4.27410879840714e-16,-1.41346603426228,0.181,0.38,1.10797722381108e-11
"Vcan",2.66725734955982e-15,-1.20055912824481,0.115,0.297,6.91433122726391e-11
"Zbtb16",1.19793917203291e-14,-1.01845076397953,0.214,0.419,3.10541771566091e-10
"Cdh13",1.95967942027963e-13,-1.90276238240958,0.188,0.36,5.08007696119089e-09
"Mir6236",3.48392277684435e-13,0.707453972361243,0.818,0.743,9.0313730144136e-09
"Pid1",8.55678181080462e-13,-0.953366688882718,0.46,0.637,2.21817454881488e-08
"Zbtb20",2.19018199384457e-12,-0.562330009516317,0.7,0.82,5.67760878264329e-08
"Ccdc80",3.30219065187986e-12,-1.1954722203274,0.242,0.417,8.56026882686815e-08
"Auts2",1.72974269749415e-11,-0.966741938740793,0.479,0.629,4.48401199471409e-07
"Fmo2",2.36033396675276e-11,-1.49771020484693,0.158,0.316,6.11869374201318e-07
"Abca8a",7.22148008379405e-11,-1.49223800324331,0.119,0.258,1.87202428212193e-06
"Tshz2",8.9214835595024e-11,-0.743539073592675,0.622,0.741,2.31271618312981e-06
"Plcb4",1.17670719559066e-10,-0.729403686024476,0.333,0.503,3.05037806312967e-06
"Boc",1.54497897376178e-10,-1.61945904303455,0.114,0.252,4.00504899368266e-06
"Bicc1",1.61402438852671e-10,-0.971165266876795,0.365,0.517,4.18403542237779e-06
"Sema5a",3.07917297948158e-10,-0.949308403056374,0.158,0.31,7.9821401147101e-06
"Inmt",5.61390720229269e-10,-0.567662268044097,0.11,0.251,1.45529316405033e-05
"Col1a1",7.6001215639417e-10,1.06844321552676,0.708,0.653,1.97017951302061e-05
"Crispld2",2.10123130013237e-09,-1.06074628235407,0.207,0.356,5.44702189933315e-05
"Ltbp1",2.20596388849668e-09,-1.16145758883256,0.147,0.283,5.71852018814995e-05
"Aspn",2.46563224118288e-09,-1.51987819530345,0.13,0.262,6.39165845881837e-05
"Abi3bp",1.77421003296593e-08,-0.627703601443824,0.246,0.392,0.000459928466845758
